Intel,2016,2016-10,arch,111
SUSE Linux,2017,2017-05,arch,79
Texas Instruments,2014,2014-04,arch,328
SUSE Linux,2013,2013-07,drivers,317
Texas Instruments,2015,2015-12,drivers,241
Texas Instruments,2015,2015-12,include,17
Linaro,2021,2021-11,drivers,206
Intel,2020,2020-03,drivers,1024
Broadcom,2009,2009-08,drivers,130
Intel,2020,2020-07,fs,28
Intel,2020,2020-07,include,125
Intel,2020,2020-07,init,7
Linaro,2017,2017-12,kernel,11
Linaro,2016,2016-09,virt,3
Red Hat,2019,2019-04,fs,251
Intel,2006,2006-06,drivers,507
Intel,2016,2016-08,...,95
amd.com,2018,2018-07,drivers,712
amd.com,2022,2022-07,drivers,533
SUSE Linux,2009,2009-10,fs,4
Broadcom,2012,2012-02,drivers,121
Samsung Electronics,2017,2017-02,drivers,160
Intel,2020,2020-04,drivers,1027
Intel,2020,2020-04,include,136
Red Hat,2017,2017-05,arch,152
Intel,2005,2005-06,net,48
Intel,2012,2012-04,include,78
Linaro,2018,2018-11,Documentation,15
Intel,2013,2013-10,net,138
Intel,2020,2020-11,drivers,1107
Linaro,2015,2015-05,arch,96
Linaro,2015,2015-05,drivers,318
Linux Foundation,2015,2015-02,mm,3
The Linux Kernel Archives,2015,2015-08,block,68
The Linux Kernel Archives,2015,2015-08,include,42
Nick Piggin,2005,2005-06,kernel,20
Alibaba,2020,2020-12,net,4
Red Hat,2020,2020-07,drivers,365
Red Hat,2020,2020-07,include,85
Red Hat,2009,2009-05,kernel,64
SUSE Linux,2022,2022-02,drivers,59
The Linux Kernel Archives,2014,2014-12,net,22
Mellanox Technologies,2022,2022-04,drivers,367
Intel,2020,2020-04,sound,75
Oracle,2008,2008-04,fs,193
Huawei Technologies,2013,2013-03,Documentation,5
Huawei Technologies,2013,2013-03,arch,36
Huawei Technologies,2021,2021-02,drivers,166
Broadcom,2014,2014-09,drivers,40
The Linux Kernel Archives,2020,2020-06,drivers,649
Samsung Electronics,2015,2015-12,arch,100
Texas Instruments,2012,2012-07,Documentation,8
Oracle,2012,2012-07,drivers,36
Samsung Electronics,2015,2015-05,Documentation,86
Intel,2022,2022-04,block,17
Intel,2022,2022-04,include,131
Linaro,2013,2013-11,sound,29
Samsung Electronics,2016,2016-06,Documentation,19
Intel,2012,2012-05,fs,92
Intel,2014,2014-10,drivers,819
Intel,2014,2014-10,include,91
Mellanox Technologies,2013,2013-04,drivers,162
Intel,2015,2015-05,drivers,1154
amd.com,2017,2017-12,...,49
amd.com,2020,2020-07,drivers,937
The Linux Kernel Archives,2019,2019-05,tools,55
Red Hat,2016,2016-11,drivers,512
Red Hat,2017,2017-08,drivers,635
SUSE Linux,2015,2015-04,drivers,237
SUSE Linux,2015,2015-04,include,19
Mellanox Technologies,2018,2018-02,drivers,226
David M. Loft,2014,2014-10,arch,21
Texas Instruments,2019,2019-10,drivers,101
Red Hat,2008,2008-01,fs,228
Intel,2015,2015-07,drivers,1449
Intel,2021,2021-12,sound,177
Linaro,2014,2014-02,drivers,222
Intel,2010,2010-08,drivers,913
Intel,2011,2011-06,drivers,911
amd.com,2015,2015-08,drivers,378
amd.com,2015,2015-08,...,10
Red Hat,2017,2017-04,include,91
Red Hat,2013,2013-08,drivers,302
SUSE Linux,2022,2022-04,sound,54
Linaro,2016,2016-11,arch,47
The Linux Kernel Archives,2015,2015-09,drivers,96
Texas Instruments,2018,2018-12,block,10
Alibaba,2021,2021-01,drivers,37
amd.com,2020,2020-06,drivers,648
amd.com,2017,2017-05,drivers,561
amd.com,2017,2017-05,...,139
amd.com,2017,2017-03,drivers,628
Samsung Electronics,2010,2010-03,sound,13
Linaro,2012,2012-05,arch,276
Texas Instruments,2016,2016-09,drivers,358
Intel,2012,2012-08,drivers,587
SUSE Linux,2007,2007-05,drivers,220
Huawei Technologies,2015,2015-09,mm,4
Intel,2018,2018-12,drivers,751
Intel,2018,2018-12,include,129
Texas Instruments,2019,2019-12,drivers,227
Samsung Electronics,2018,2018-10,drivers,114
Texas Instruments,2018,2018-11,arch,17
Nick Piggin,2017,2017-01,lib,6
Intel,2017,2017-02,tools,74
Intel,2010,2010-08,kernel,41
Intel,2011,2011-03,drivers,1158
Linaro,2013,2013-06,drivers,272
SUSE Linux,2020,2020-04,drivers,102
Red Hat,2015,2015-09,kernel,101
SUSE Linux,2014,2014-05,tools,10
Intel,2021,2021-09,drivers,917
Mellanox Technologies,2020,2020-08,drivers,151
Mellanox Technologies,2020,2020-08,include,18
The Linux Kernel Archives,2016,2016-01,arch,101
SUSE Linux,2012,2012-03,fs,82
Texas Instruments,2021,2021-03,arch,59
Samsung Electronics,2020,2020-11,drivers,48
Intel,2020,2020-04,fs,79
Huawei Technologies,2013,2013-03,block,1
Huawei Technologies,2013,2013-03,include,18
Huawei Technologies,2013,2013-03,kernel,61
The Linux Kernel Archives,2016,2016-09,fs,33
Huawei Technologies,2012,2012-01,arch,19
Huawei Technologies,2016,2016-06,tools,63
Texas Instruments,2011,2011-03,drivers,252
Red Hat,2015,2015-05,fs,282
Red Hat,2015,2015-05,include,136
Nick Piggin,2010,2010-03,drivers,11
Intel,2011,2011-04,drivers,1171
SUSE Linux,2010,2010-04,arch,115
Intel,2015,2015-02,drivers,1178
Intel,2008,2008-04,drivers,1236
SUSE Linux,2008,2008-08,drivers,565
Linaro,2015,2015-02,kernel,43
amd.com,2008,2008-06,arch,305
Intel,2012,2012-05,include,125
Intel,2012,2012-05,net,174
amd.com,2018,2018-12,drivers,533
amd.com,2018,2018-12,...,35
Texas Instruments,2012,2012-11,drivers,486
Texas Instruments,2012,2012-11,include,34
The Linux Kernel Archives,2010,2010-12,arch,80
Huawei Technologies,2005,2005-08,drivers,74
Red Hat,2021,2021-12,drivers,205
The Linux Kernel Archives,2018,2018-01,kernel,34
Intel,2009,2009-08,drivers,947
Arnd Bergmann,2019,2019-11,kernel,6
The Linux Kernel Archives,2019,2019-07,fs,48
Texas Instruments,2012,2012-10,drivers,404
Intel,2018,2018-03,drivers,1464
Samsung Electronics,2014,2014-07,drivers,437
amd.com,2008,2008-05,arch,49
Red Hat,2006,2006-01,drivers,420
Red Hat,2006,2006-01,include,257
Intel,2013,2013-06,drivers,888
Intel,2016,2016-09,drivers,1257
Intel,2006,2006-01,drivers,946
Red Hat,2011,2011-10,fs,173
Red Hat,2011,2011-10,include,53
Intel,2018,2018-01,include,93
Intel,2018,2018-01,mm,10
Linaro,2011,2011-02,arch,41
Mellanox Technologies,2010,2010-03,arch,16
Mellanox Technologies,2010,2010-03,kernel,21
Intel,2011,2011-01,drivers,819
amd.com,2016,2016-10,drivers,341
Nick Piggin,2018,2018-10,drivers,17
Oracle,2015,2015-12,drivers,70
Huawei Technologies,2021,2021-10,drivers,92
Texas Instruments,2017,2017-11,include,4
Intel,2013,2013-04,drivers,737
Red Hat,2020,2020-10,tools,66
Intel,2018,2018-05,lib,5
Nick Piggin,2022,2022-06,arch,89
amd.com,2021,2021-05,drivers,702
Mellanox Technologies,2017,2017-08,drivers,399
Mellanox Technologies,2020,2020-02,drivers,310
Mellanox Technologies,2020,2020-02,include,27
Red Hat,2019,2019-12,net,62
Oracle,2016,2016-03,drivers,78
Oracle,2010,2010-02,fs,32
SUSE Linux,2022,2022-07,sound,23
Red Hat,2011,2011-06,drivers,680
Huawei Technologies,2009,2009-12,fs,4
amd.com,2021,2021-03,drivers,667
The Linux Kernel Archives,2017,2017-10,include,60
The Linux Kernel Archives,2017,2017-10,kernel,54
amd.com,2008,2008-07,drivers,633
Oracle,2020,2020-03,fs,93
Intel,2019,2019-08,drivers,1244
Intel,2010,2010-04,arch,147
Red Hat,2013,2013-08,arch,322
David M. Loft,2014,2014-09,net,1
Oracle,2015,2015-11,net,10
Intel,2016,2016-02,crypto,37
